frame_number,x_center,y_center,x_size,y_size
227,679.0,379.0,78,82
228,675.5,389.5,77,83
229,674.0,407.5,76,81
230,673.5,420.0,75,86
231,674.0,444.0,74,92
232,674.0,440.0,72,102
233,682.0,399.0,72,108
234,687.5,374.0,75,98
235,691.5,337.0,79,90
236,690.5,315.5,77,95
237,686.0,283.5,78,95
238,685.5,264.0,79,94
239,683.0,254.0,80,98
240,681.5,234.5,83,93
241,678.0,223.5,82,87
242,674.0,213.0,82,86
243,672.5,206.0,77,90
244,661.0,190.5,78,89
245,652.5,184.5,79,89
246,646.5,190.5,79,89
247,646.0,199.5,80,87
248,648.5,220.0,83,82
249,647.5,229.5,83,81
250,644.0,236.5,84,83
251,644.0,254.5,84,83
252,646.0,278.0,82,90
253,639.5,302.0,83,86
254,630.5,336.5,81,85
255,622.5,379.5,81,85
256,617.5,404.5,77,99
257,614.0,448.0,74,106
258,600.0,486.5,78,99
259,597.5,503.5,77,107
260,604.0,452.0,78,108
261,608.0,417.5,78,111
262,620.0,382.5,84,111
263,633.0,345.0,86,106
264,651.5,311.0,87,98
265,659.5,279.5,87,91
266,671.0,264.0,86,92
267,698.0,256.0,86,94
268,705.0,242.5,88,91
269,706.5,238.5,89,89
270,708.5,233.0,89,88
271,697.0,231.5,90,89
272,695.0,232.0,90,86
273,695.0,241.0,86,88
274,692.0,264.5,84,97
275,692.5,275.5,85,97
276,696.0,289.5,84,93
277,700.5,320.0,83,90
278,696.0,354.5,82,91
279,693.5,392.5,79,101
280,686.0,440.0,78,112
281,681.5,481.5,79,119
282,676.0,527.5,84,117
283,670.5,565.5,87,113
284,666.0,537.0,86,126
285,636.0,469.0,94,126
286,611.0,422.5,92,131
287,590.0,372.0,94,128
288,574.0,342.0,102,116
289,560.0,308.5,102,109
290,543.5,278.0,103,106
291,537.5,258.5,103,105
292,524.0,247.5,98,109
293,514.0,224.5,92,113
294,510.5,211.0,91,106
295,513.5,201.5,89,101
296,517.0,196.0,86,100
297,515.5,184.5,85,97
298,517.0,176.0,86,94
299,531.5,181.0,85,92
300,540.5,184.0,87,88
301,562.5,206.0,87,86
302,571.5,212.5,87,87
303,576.5,223.5,87,85
304,577.0,235.0,86,88
305,578.5,249.0,85,92
306,579.5,271.5,83,91
307,587.0,299.0,84,86
308,598.0,332.5,84,87
309,597.5,377.5,83,87
310,599.5,410.0,79,102
311,596.5,468.5,77,117
312,593.5,501.5,83,109
313,597.0,520.5,84,105
314,602.5,499.5,81,111
315,603.0,471.0,80,106
316,604.0,444.5,82,103
317,605.0,425.5,84,101
318,605.0,413.0,84,94
319,604.5,406.0,85,88
320,600.5,399.5,83,85
321,601.5,382.5,85,85
322,598.5,372.0,85,86
323,593.0,368.0,88,86
324,582.0,371.5,88,87
325,576.5,378.5,89,85
326,583.0,394.0,88,88
327,581.5,408.5,87,93
328,583.0,429.0,86,102
329,581.0,460.5,86,105
330,577.0,494.0,86,108
331,570.5,515.5,89,101
332,564.0,538.0,90,112
333,567.0,524.0,90,120
334,572.0,483.0,88,128
335,572.5,438.5,89,129
336,572.5,411.5,93,115
337,568.0,375.0,94,106
338,558.0,339.5,92,105
339,553.5,309.5,91,107
340,546.0,283.0,94,106
341,538.5,270.5,95,101
342,526.0,248.0,88,104
343,523.0,224.0,88,102
344,531.5,204.0,89,100
345,532.0,199.5,90,99
346,523.0,193.0,90,94
