                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.84242,                0.45272,                0.91292,                0.99265,                0.95044,                 0.9867,                0.74649,                 1.0172,                0.48115,                 1.0276,                0.00307,                0.00307,                0.00307
                     37,                 0.8346,                0.44347,                0.91371,                0.98549,                 0.9569,                0.99115,                0.75374,                 0.9889,                0.48062,                 1.0176,               0.002872,               0.002872,               0.002872
                     38,                0.80826,                0.43089,                0.89523,                 0.9927,                0.95707,                0.98925,                0.75183,                0.99496,                 0.4879,                 1.0056,               0.002674,               0.002674,               0.002674
                     39,                0.79615,                 0.4283,                0.89976,                 0.9765,                0.97183,                0.99239,                0.75811,                0.98751,                0.47352,                0.99791,               0.002476,               0.002476,               0.002476
                     40,                0.75193,                0.38665,                0.88348,                0.98569,                0.96985,                0.99154,                0.76268,                0.98894,                0.45243,                 1.0073,               0.002278,               0.002278,               0.002278
                     41,                0.75411,                0.37871,                0.88879,                0.97885,                0.97787,                0.98831,                0.76721,                0.96037,                0.45528,                 1.0039,                0.00208,                0.00208,                0.00208
                     42,                0.73063,                0.36338,                0.87352,                0.98426,                0.97183,                0.98897,                0.77239,                0.95557,                0.45838,                0.99648,               0.001882,               0.001882,               0.001882
                     43,                0.72171,                0.36086,                0.88552,                0.97812,                0.98592,                 0.9917,                0.76952,                0.97958,                0.44869,                  1.004,               0.001684,               0.001684,               0.001684
                     44,                 0.7206,                0.35307,                0.87755,                0.98561,                0.96469,                0.98795,                0.76805,                0.96554,                0.46087,                0.99674,               0.001486,               0.001486,               0.001486
                     45,                0.70575,                0.34493,                0.85969,                0.98501,                0.97183,                0.99009,                0.75389,                0.97596,                0.44708,                 1.0063,               0.001288,               0.001288,               0.001288
                     46,                0.69854,                0.34182,                0.86824,                0.98479,                0.96479,                0.99227,                0.76485,                0.96103,                0.44382,                0.99881,                0.00109,                0.00109,                0.00109
                     47,                0.67855,                0.33151,                0.85689,                0.98559,                0.96367,                0.99209,                0.75967,                0.94952,                0.44343,                0.99517,               0.000892,               0.000892,               0.000892
                     48,                 0.6812,                0.33696,                0.86593,                0.99792,                 0.9507,                0.99235,                0.77425,                0.94466,                0.43997,                 1.0008,               0.000694,               0.000694,               0.000694
                     49,                0.67241,                0.32853,                0.86228,                      1,                0.95682,                0.99211,                0.76807,                0.94896,                0.43451,                 1.0013,               0.000496,               0.000496,               0.000496
