frame_number,x_center,y_center,x_size,y_size
337,573,435,83,96
338,564,352,69,86
339,564,352,69,87
341,550,274,63,79
342,535,255,68,87
343,528,231,68,86
344,529,214,69,86
345,530,203,67,83
346,527,197,67,84
347,524,193,68,84
348,521,198,74,92
349,521,204,73,90
350,522,215,71,87
351,518,236,71,87
352,517,288,70,86
352,516,235,72,87
353,515,295,81,102
354,515,295,81,102
355,512,293,82,103
356,509,404,76,88
357,507,431,88,106
358,507,466,93,118
359,505,471,96,121
360,505,471,96,121
364,544,390,96,117
365,544,364,74,90
366,548,334,67,82
367,551,303,71,89
367,551,313,62,76
368,557,288,68,82
369,562,278,70,83
370,565,270,72,86
371,569,267,75,88
372,576,266,73,86
373,582,270,72,84
374,585,275,70,80
375,589,285,67,77
376,590,292,67,78
377,593,293,67,77
377,584,315,74,92
378,582,329,70,87
379,578,343,69,85
380,586,363,67,81
381,589,386,80,100
382,577,434,82,109
382,592,396,82,101
383,578,462,82,115
384,579,488,74,101
385,584,506,71,98
386,588,515,69,95
386,593,449,69,86
387,596,429,82,106
388,598,437,84,109
389,605,355,70,83
390,609,336,75,94
391,610,316,66,81
392,613,291,64,78
393,619,271,63,78
394,621,256,65,81
395,624,239,66,82
396,627,229,63,78
397,632,219,58,70
398,637,215,57,68
399,645,213,56,67
400,651,214,57,67
401,655,219,62,75
402,658,227,61,75
403,660,237,60,73
404,662,249,60,74
405,665,264,63,78
406,667,280,63,81
407,670,283,64,82
409,635,357,44,78
410,626,386,38,67
411,624,423,60,81
411,620,404,35,61
412,624,423,60,81
412,620,404,35,61
413,624,423,60,81
413,620,404,35,61
414,624,423,60,81
414,620,404,35,61
415,625,422,59,80
416,664,330,56,72
417,666,335,56,72
422,645,204,51,79
423,641,188,50,77
424,638,177,44,68
425,635,172,42,63
426,634,173,44,66
427,631,179,47,69
428,628,189,47,70
429,624,207,46,67
430,622,226,49,72
431,619,240,51,76
432,618,257,48,71
433,614,284,51,75
434,614,284,51,75
435,602,346,52,70
435,612,293,51,76
436,593,383,49,63
436,600,342,52,70
437,592,402,61,83
438,593,422,60,86
439,592,448,52,75
440,594,462,54,79
441,591,471,55,80
442,598,396,59,91
443,595,408,60,92
444,592,326,54,81
445,583,307,50,76
446,581,281,45,67
447,579,256,46,69
448,580,236,48,72
449,580,236,48,72
450,582,214,42,63
451,582,202,43,65
452,583,189,44,68
453,587,180,49,79
454,593,159,45,72
455,599,146,39,60
456,603,143,39,60
457,606,145,40,61
458,611,153,40,61
459,620,162,42,63
460,628,169,41,62
461,634,177,43,66
462,639,183,40,60
463,646,199,43,64
464,650,200,43,64
470,695,385,32,66
471,695,385,32,66
472,695,385,32,66
473,696,402,28,57
474,695,422,39,80
475,695,440,40,81
479,733,306,43,78
480,742,288,42,75
481,749,280,41,73
482,764,270,42,74
483,780,259,41,71
484,796,252,38,63
485,796,252,38,63
486,796,252,38,63
487,807,242,37,61
489,842,258,46,68
490,846,256,44,64
491,848,257,45,64
492,849,259,46,65
493,848,267,44,61
494,848,267,44,61
495,854,270,43,61
496,854,270,43,61
499,862,447,42,82
500,875,448,44,85
501,875,448,44,85
502,875,448,44,85
503,875,448,44,85
504,881,459,42,82
506,933,355,46,60
507,939,345,46,60
508,937,341,47,61
509,934,338,44,58
510,921,329,46,65
510,937,333,44,58
511,920,330,45,63
512,917,330,46,62
513,915,325,45,60
514,911,324,45,59
515,907,328,50,67
516,903,335,50,68
517,898,342,50,67
518,893,357,46,62
519,885,373,47,62
520,878,394,49,66
521,875,423,53,73
522,875,443,56,78
523,872,459,58,83
524,872,459,58,83
525,871,470,59,85
527,874,350,52,77
528,875,332,46,68
529,876,317,42,62
530,872,304,40,59
531,869,304,55,82
532,866,293,52,79
533,865,295,56,87
534,865,290,50,77
535,865,287,42,66
536,865,287,42,66
537,865,287,42,66
538,858,293,38,58
539,857,302,40,62
540,856,308,40,61
541,859,315,39,59
542,864,325,38,58
543,865,342,37,56
544,864,365,36,55
545,866,384,46,71
546,867,402,46,72
547,870,396,51,82
548,871,404,53,84
553,905,268,37,73
554,905,254,33,64
555,909,235,35,67
556,915,219,34,64
557,925,208,33,61
558,933,201,33,59
559,937,196,33,58
560,940,193,33,57
561,941,196,38,65
562,946,203,47,80
563,949,204,47,79
564,946,206,41,69
565,946,206,41,69
566,946,206,41,69
567,950,202,42,70
569,962,285,46,64
570,961,305,58,81
571,962,331,60,84
572,964,352,49,68
573,966,386,47,65
574,966,386,47,65
575,966,386,47,65
576,966,386,47,65
577,966,386,47,65
578,962,396,45,62
579,962,416,44,61
603,942,390,29,60
604,942,399,28,56
607,956,307,43,73
608,956,288,38,64
609,966,266,34,56
610,971,250,34,56
611,974,240,37,61
612,976,235,39,64
613,979,230,39,64
614,981,228,38,61
615,983,226,37,58
616,983,226,37,58
617,979,231,36,55
618,979,231,36,55
619,981,224,35,54
623,899,309,49,62
624,902,326,57,73
625,904,346,57,74
626,904,372,57,74
627,903,400,47,62
628,903,400,47,62
629,886,444,39,77
629,904,417,47,62
630,886,444,39,77
630,904,417,47,62
631,884,446,40,78
635,865,308,47,71
636,863,289,44,67
637,860,275,39,60
638,856,263,36,56
639,850,249,35,54
640,844,242,37,56
641,841,238,37,57
642,836,236,36,54
643,831,236,34,51
644,826,237,31,47
645,826,237,31,47
646,826,237,31,47
647,826,237,31,47
648,826,237,31,47
649,826,237,31,47
650,826,237,31,47
651,826,237,31,47
652,822,231,30,45
656,786,477,31,60
657,781,479,31,59
658,779,498,34,63
659,779,481,45,85
660,775,482,46,88
666,824,247,50,78
667,829,227,39,61
668,833,201,37,56
669,835,182,35,52
670,840,165,33,48
671,843,151,35,52
672,843,151,35,52
673,848,135,34,50
674,848,129,36,51
675,850,126,37,51
676,850,126,38,53
677,852,129,41,57
678,854,131,42,58
679,855,134,44,61
680,856,143,46,64
681,860,156,42,58
682,862,152,42,58
684,873,229,68,81
685,877,261,75,90
686,878,296,76,93
687,879,326,61,75
688,880,363,55,67
689,883,397,65,81
690,885,430,73,93
691,885,430,73,93
692,885,430,73,93
693,888,450,57,73
694,890,476,58,75
696,880,408,52,68
697,874,397,48,63
698,867,392,47,61
699,867,392,47,61
700,863,384,45,59
701,863,384,45,59
702,863,384,45,59
704,810,379,52,65
705,804,387,48,60
706,798,398,49,62
707,792,412,49,62
708,790,428,55,70
709,790,428,55,70
710,790,428,55,70
711,778,427,50,64
712,770,410,58,75
713,764,413,59,77
716,793,316,45,58
717,791,307,47,60
718,799,299,48,62
719,795,292,48,62
721,843,284,48,58
722,850,284,50,60
723,863,284,48,57
724,878,289,50,60
725,892,297,49,59
726,892,297,49,59
727,908,320,59,72
728,915,336,64,79
729,917,355,59,74
730,927,364,61,76
732,903,281,67,97
733,898,241,64,94
734,894,203,58,85
735,890,176,44,64
736,883,154,45,66
737,877,130,47,70
738,876,108,51,75
739,876,86,54,81
740,884,63,46,67
741,883,39,45,66
747,936,48,35,33
748,944,52,45,43
749,947,59,58,55
750,947,67,70,69
751,945,81,73,74
752,940,100,73,76
753,934,122,72,76
754,927,144,63,67
755,921,170,64,70
756,917,197,72,81
757,914,228,76,89
758,911,254,63,76
759,909,262,55,67
760,909,276,57,70
762,903,209,47,69
763,901,193,47,69
764,901,181,41,60
765,895,174,38,55
766,890,169,37,53
767,888,168,38,54
768,886,169,40,55
769,885,172,42,58
770,882,180,45,63
771,881,193,47,65
772,879,206,46,64
773,880,221,52,73
774,879,235,54,78
775,879,253,55,80
776,881,276,56,82
777,881,276,56,82
778,881,276,56,82
779,879,283,57,84
787,935,341,55,82
788,935,341,55,82
789,935,332,58,86
791,937,270,46,64
792,935,260,50,71
793,931,250,49,69
794,927,244,44,62
795,920,243,42,59
796,912,245,41,57
797,912,245,41,57
798,912,245,41,57
799,912,245,41,57
800,875,288,46,68
800,908,241,41,57
801,875,288,46,68
801,908,241,41,57
802,875,288,46,68
802,908,241,41,57
803,867,328,43,63
803,870,282,46,68
804,865,347,40,59
805,861,359,44,66
806,862,383,47,74
807,859,407,43,67
808,859,407,43,67
809,859,407,43,67
810,859,407,43,67
811,857,418,43,68
812,840,431,44,69
813,836,443,44,70
815,811,393,54,76
816,803,378,48,67
817,798,371,47,66
818,793,368,45,64
819,788,365,43,62
820,783,367,42,60
821,782,371,39,57
822,782,371,39,57
823,782,371,39,57
824,782,371,39,57
825,782,371,39,57
826,782,371,39,57
827,782,371,39,57
828,782,371,39,57
829,782,371,39,57
830,782,371,39,57
831,782,371,39,57
832,782,371,39,57
833,782,371,39,57
834,782,371,39,57
835,782,371,39,57
836,782,371,39,57
837,782,371,39,57
838,782,371,39,57
839,782,371,39,57
840,782,371,39,57
841,782,371,39,57
842,782,371,39,57
843,782,371,39,57
844,782,371,39,57
845,782,371,39,57
846,782,371,39,57
847,782,371,39,57
848,782,371,39,57
849,782,371,39,57
850,782,371,39,57
851,782,371,39,57
852,782,371,39,57
853,782,371,39,57
854,782,371,39,57
855,782,371,39,57
856,782,371,39,57
857,782,371,39,57
858,782,371,39,57
859,782,371,39,57
860,782,371,39,57
861,782,371,39,57
862,778,368,39,56
864,684,328,46,55
865,681,335,50,60
866,681,335,50,60
867,681,335,50,60
868,681,335,50,60
869,681,335,50,60
870,681,335,50,60
871,681,335,50,60
872,681,335,50,60
873,681,335,50,60
874,681,335,50,60
875,681,335,50,60
876,681,335,50,60
877,681,335,50,60
878,681,335,50,60
879,681,335,50,60
880,679,338,52,62
898,607,247,24,30
899,607,247,24,30
900,607,247,24,30
901,607,247,24,30
902,605,245,22,28
903,605,245,22,28
904,688,210,23,33
904,605,244,22,27
905,688,210,23,33
905,605,244,22,27
906,688,210,23,33
906,605,244,22,27
907,688,210,23,33
907,605,244,22,27
908,688,210,23,33
908,605,244,22,27
909,688,210,23,33
909,605,244,22,27
910,688,210,23,33
910,605,244,22,27
911,688,210,23,33
911,605,244,22,27
912,688,210,23,33
912,605,244,22,27
913,688,210,23,33
913,605,244,22,27
914,688,210,23,33
914,605,244,22,27
915,688,210,23,33
915,605,244,22,27
916,688,210,23,33
916,605,244,22,27
917,681,207,22,31
954,649,196,26,34
955,649,196,26,34
956,642,194,26,34
957,743,263,26,36
958,741,257,25,34
959,741,257,25,34
960,741,257,25,34
962,798,284,31,42
963,796,278,32,44
964,797,272,31,41
965,796,268,30,41
966,793,267,30,40
967,791,266,30,39
